,Sentence ID,HIT ID,Formality,Informativeness,Implicature,Length in Words,Length in Characters,F-score,I-score,Lexical Density,Sentence,Label
12,20,3TRB893CSI9N31QR9J1LD8QJPLT7GP,4.2,5.2,4.4,42,252,78.5714285714,4.54761904762,59.523809523800004,$200 million in stimulus funds flows to Georgia to update power grid: More than $200 million in federal stimulus money is expected to flow into projects in Georgia as part of the Obama Administration's plans to upgrade the nation's aging electric grid.,1
13,21,3CVDZS288GZ0A41J25XSE5NXJVOFM9,4.4,6.6,4.4,28,193,87.5,4.8571428571399995,67.8571428571,20The driver of the crawler-transporter slowly maneuvers the huge vehicle under the mobile launcher platform holding the 327-foot-tall Ares I-X rocket at NASA's Kennedy Space Center in Florida.,1
14,22,3OQQD2WO8H5JY9VZXVYYL3RJZWZI3N,4.8,6.0,4.0,22,126,86.36363636360001,5.681818181819999,59.0909090909,"21NASA's Ares 1-X rocket rolls out to launch pad 39-B at the Kennedy Space Center October 20, 2009 in Cape Canaveral, Florida.",1
15,23,36KM3FWE3QBQSXF6VHCISG33I4507G,5.4,6.4,2.2,23,126,78.26086956520001,5.04347826087,65.21739130430001,"22NASA's Ares I-X rocket is seen on launch pad 39b at the Kennedy Space Center in Cape Canaveral, Fla., Monday, Oct. 26, 2009.",1
16,24,3L84EBDQ361G02TUI4B9F5NY2MAKKB,4.0,5.8,3.8,32,173,84.375,5.3125,62.5,"23The top section of NASA's new Ares 1-X test vehicle is reflected in a pond as an alligator lurks near launch pad 39-B at Kennedy Space Center, Florida on October 26, 2009.",1
17,25,3EFNPKWBMRN8REEJT59SFZRND2J30E,3.6,6.4,2.4,28,164,85.7142857143,5.67857142857,57.1428571429,"24The Ares 1-X test rocket lifts off on a six-minute suborbital flight from launch pad 39B at the Kennedy Space Center in Cape Canaveral, Florida, October 28, 2009.",1
18,26,3J9UN9O9J2RJCSG8WQ1FV68C9Z5J06,4.2,6.2,3.0,22,128,79.54545454550001,5.454545454550001,59.0909090909,"25NASA's Ares 1-X rocket lifts off from launch pad 39-b at the Kennedy Space Center October 28, 2009 in Cape Canaveral, Florida.",1
19,27,3IVEC1GSLOYJJH1QS95F9BRMERBJ19,4.6,5.6,4.6,35,201,92.85714285709999,4.57142857143,62.8571428571,"26A cone of moisture surrounds part of the Ares I-X rocket during lift off Wednesday, Oct. 28, 2009, on a sub-orbital test flight from the Kennedy Space Center's Launch Pad 39-B in Cape Canaveral, Fla.",1
20,28,32204AGAAABKWQW3MSNX4LFD3OQGH1,5.4,6.4,2.4,30,173,88.3333333333,4.2,56.6666666667,"27The Ares 1-X test rocket climbs into the sky on a six-minute suborbital flight from launch pad 39B at the Kennedy Space Center in Cape Canaveral, Florida October 28, 2009.",1
21,29,306W7JMRYXXVCYNZ321DQXVHKS8B80,5.6,6.2,2.2,30,194,86.6666666667,5.766666666669999,70.0,"28NASA's new Ares 1-X test vehicle goes through first stage/upper stage simulator seperation about two minutes after launch Kennedy Space Center's launch pad 39-B in Florida on October 28, 2009.",1
22,31,3QGTX7BCHO187E7DBIAD0VST95T5ZY,3.4,5.4,2.6,10,52,80.0,4.5,60.0,"2Ares I First Stage Motor Unveiled on July 20, 2009.",1
23,32,3NOEP8XAU31NVTPHUFV61GHZS5VXPE,3.0,2.6,2.0,9,38,66.6666666667,4.777777777780001,44.4444444444,2) Create a story about in in 6 words.,1
24,37,3R5OYNIC2B8GECGXP5U9CDWTF97PTN,3.6,4.8,4.6,7,44,78.5714285714,0.5714285714289999,71.4285714286,2) Marty Peretz apologizes to Matt Yglesias.,1
25,41,3IJ95K7NDWBC6MIEPQIA95C9P0ZGNA,1.2,1.6,4.8,8,40,37.5,1.875,50.0,2. What the hell isn't he talking about?,1
26,44,3ICOHX7ENBAB1CUGIPQOYQVK4R90E2,5.0,4.2,3.4,7,44,92.85714285709999,2.4285714285699997,71.4285714286,3.) Chamber of Commerce chief battles Obama.,1
27,46,3MQKOF1EE1NZHWH1F18PZ3M35KNDWO,3.8,5.4,2.8,33,205,86.36363636360001,5.75757575758,66.6666666667,"3Flames shot more than 100 feet high in a successful 5.5-second ground test firing Thursday, Nov. 20, 2008 of a launch abort motor for NASA's next generation spacecraft, the Orion crew exploration vehicle.",1
28,47,31S7M7DAGFPQNR1ZXD12VWN9AZ7LTM,3.2,3.4,3.2,11,52,81.8181818182,3.3636363636400004,63.636363636400006,"3) ""Great beer and great wine are on the same team.""",1
29,53,3SD15I2WD1T35P0YVUP9O01EQ5536F,2.2,2.8,3.6,7,36,50.0,2.4285714285699997,57.1428571429,3) We choose a winning 6-word story.,1
30,54,3FTID4TN8KXM4D0T7JO13DFOP1PLYB,4.4,5.0,4.6,13,62,80.7692307692,2.61538461538,53.8461538462,3. Will the threat of a lawsuit do anything to the Palin camp?,1
31,57,36FFXPMST8N8O3D1AB059UOFUAHOHW,2.8,2.8,4.0,8,46,68.75,7.375,75.0,4.) Are washing machines the new water savers?,1
32,61,3PCPFX4U4ZPRVJZBUY49VE72TWLFQW,4.8,6.0,2.6,21,125,83.3333333333,4.19047619048,71.4285714286,"4NASA and ATK successfully conducted an Ares I main cluster parachute test at the U.S. Army Proving Grounds in Yuma, Arizona.",1
33,63,3JUDR1D0D5Q7UPNZ63P2BVDDKSGQ2N,3.8,4.8,4.6,13,68,65.3846153846,2.76923076923,53.8461538462,"4) The story, along with the object, will then be auctioned on eBay.",1
34,64,3SNR5F7R91SM87BWMFFU4UVGQLPIEE,5.8,5.4,4.4,12,80,75.0,6.583333333330001,58.3333333333,"4) ""We find no clear relation between income inequality and class-based voting.""",1
35,66,3RBI0I35XD25O9A41DK17RL7PFXY39,2.6,3.8,3.8,7,47,78.5714285714,2.5714285714300003,71.4285714286,5.) Harry Potter sports an environmental audit.,1
36,69,3OCZWXS7ZN6O2PQ9WHJ4SGHVUWKL5U,4.4,6.0,4.2,30,170,81.6666666667,3.33333333333,56.6666666667,"5On Sept. 10, 2009, NASA and industry engineers lit up the Utah sky with the initial full-scale, full-duration test firing of the first stage motor for the Ares I rocket.",1
37,70,3VO4XFFP14LEGQK5CF6X7MULV82Q73,2.6,4.8,2.0,11,57,59.0909090909,6.72727272727,54.5454545455,5) The winning six-word writer gets to keep all the loot.,1
38,71,3QHITW7OYN8WZSI3JIIHHDWBWG8QAU,1.8,4.2,5.0,11,56,54.5454545455,4.63636363636,63.636363636400006,"6:13: So far, we've had a mummy, a cowboy, a ladybug....",1
39,72,351S7I5UG8VMXO8FXW3D6I4PHSGJNH,5.8,5.8,1.8,31,173,83.87096774189999,4.58064516129,67.74193548390001,"6At the Shuttle Landing Facility at NASA's Kennedy Space Center in Florida, hardware that will be used in the launch of the Ares I-X rocket is offloaded from a C-5 aircraft.",1
40,74,38DCH97KHG170LL7DOVUACZUM33JQ4,1.4,2.4,3.0,3,14,50.0,0.0,66.6666666667,"6) Fun, right?",1
41,76,3Y3CZJSZ9JSZ5NLM11G0ESQU0OAR5R,3.4,5.8,4.2,15,76,36.6666666667,4.73333333333,60.0,"7:16: We've been honing our act, and we finally got 4 little girls to laugh.",1
42,77,3W9XHF7WGJUF3LJHCDP1GWAULZ1TKQ,4.8,6.4,3.2,38,266,72.3684210526,3.5263157894699995,60.526315789499996,"7 Florida utilities and tech firm to receive $264 million: Energy grants announced Tuesday by President Obama include $264 million for seven Florida utilities and an Orlando technology company, with each grant requiring final negotiations and matching contributions.",1
43,80,33QQ60S6ARHSQ8R28P5T28HNQF3U0D,3.8,4.4,2.2,33,202,87.8787878788,5.69696969697,72.72727272729999,"8In High Bay 4 of the Vehicle Assembly Building at NASA's Kennedy Space Center in Florida, the Ares I-X upper stage simulator service module/service adapter (left, center) has been installed on a stand.",1
44,81,3RTFSSG7T75IF85TSI6DIGU8ETPWLN,4.2,5.6,4.0,32,185,89.0625,4.84375,68.75,"9In the Vehicle Assembly Building's High Bay 3 at NASA's Kennedy Space Center in Florida, the Ares I-X aft center booster segment is lowered for attachment to the aft booster and skirt.",1
45,82,34KYK9TV2Q7DVI28H07I7OVIWMFBS0,4.6,6.4,5.0,32,159,78.125,2.5,43.75,"A $1999 option upgrades the CPU to a ""Nehalem"" quad core 2.66GHz Core i5 750 processor, or for $200 more, a Core i7 860, both of which include 8MB of L3 cache.",1
46,88,3D0LPO3EAAYUAY3QKB4TVUJIK6UOYV,6.2,6.0,4.8,20,147,80.0,4.45,75.0,"Abdullah Abdullah, Karzai's challenger, has threatened a possible boycott, saying that the Afghan election commission is in the president's pocket.",1
47,94,356ZPKYPUGGCVYFRZBH8KUO8UBPYPL,4.4,4.8,4.2,57,328,80.701754386,5.64912280702,66.6666666667,"ABOARD U.S.S. NEW YORK, off Virginia - The fresh sun warmed sea air swept across the deck of this ship as it continued to push north through the swells on Saturday morning, but inside the windowless lower passages, the air was kept bracingly chilly, still heavy with the sterile, mechanical smell of the world's largest new car.",1
48,100,3K2CEDRACA0AT9JKXP2HV92YA5ATMB,3.6,4.8,4.6,45,242,61.111111111099994,3.8222222222199993,57.7777777778,"About a week ago, geohot released an update to his iPhone jailbreaking software dubbed Blackra1n RC2, and while that was all well and good for all you AT&T guys, it did leave those of us who need a baseband unlock on our iPieces wanting more.",1
49,101,378G7J1SJKX492V1BWJ95L4O5WNWEZ,5.0,5.2,4.2,18,110,77.7777777778,4.83333333333,61.111111111099994,"About two weeks later, the Social Security Administration sent a letter to CMS backing her claim of innocence.",1
50,103,3JHB4BPSFJ8IU98YRC4HLILRQYR9QZ,4.0,6.0,3.0,29,160,82.75862068970001,4.31034482759,55.172413793100006,"Above all, the web is shifting, from static pages to social media, from search to discovery, and the long-term leadership of that new web is still up for grabs.",1
51,108,3BPP3MA3TBJOY8J27IC7WAN87PKELP,4.6,5.2,4.6,54,306,67.5925925926,5.629629629630001,59.2592592593,"According to an article in AmLaw Daily: The firm has revamped its associate model, doing away with associate classes based strictly on entry date in favor of three associate groups that will have formal training from the time they enter the firm until they are ready to be considered for partnership. . . .",1
52,111,3SV8KD29L3RBPXSGI5EJ2KBB6VOZKD,4.8,5.8,3.2,21,144,71.4285714286,4.0,76.19047619050001,"According to Google, Social Search will enhance the search experience on Google by providing users with more personally relevant search results.",1
53,113,3W1K7D6QSAGAWUOMCS1Q3HSLJ1FBZ5,5.2,5.6,4.8,23,143,67.3913043478,3.5652173913,65.21739130430001,"According to insiders, the real ""This Is It"" plan was not a single film, but a three-year rollout to rehabilitate Jackson's deteriorated image.",1
54,119,3IZPORCT1E8BLG5H23H93PTK5X1RH8,4.0,6.4,2.0,37,231,77.027027027,4.40540540541,59.459459459499996,"According to the battery app, it's the display that's the most power hungry component: 51-percent of the power had been chomped through by that, with voice calls at 16-percent and the Android System itself accounting for 8-percent.",1
55,121,33W1NHWFYGKASGI3CESB3BY7P8FZTJ,4.0,6.0,3.6,26,172,65.3846153846,3.26923076923,73.0769230769,"According to the News, ""When the nurse called for a student Thursday morning, Nikiyah's teacher misunderstood and sent the wrong student, [NIkyah's mother Naomi] Troy said.",1
56,127,39RRBHZ0AT0P58MSH9SQ4TMSMTVZVZ,5.0,5.0,5.2,15,94,63.3333333333,5.533333333330001,73.3333333333,A complete experience will unfold that will be interactive and convert to new revenue streams.,1
57,133,3HXCEECSQLS692HXMKFABSQM4AXZY8,4.2,5.4,3.4,11,63,81.8181818182,2.8181818181800002,63.636363636400006,Activists dump tonnes of coal in Vattenfall protest (28 Oct 09),1
58,143,359AP8GAGFJAMPAM7X52NH54RT2C7L,2.2,3.6,3.4,8,45,50.0,3.375,62.5,ADDED: I swapped in a slightly different pic.,1
59,145,3ZICQFRS30H6ESR2I6HTPZZOA41ZZZ,3.4,5.6,3.2,28,166,67.8571428571,5.32142857143,67.8571428571,"Add your shots to The Consumerist Flickr Pool, and perhaps they'll get featured in a future story, or even highlighted in a Friday Consumerist Flickr Pool Finds post.",1
60,154,3VEI3XUCZQW3YX35LGPECYVBROBRPD,1.2,1.8,3.4,5,20,100.0,4.6,60.0,A Few Buck the Trend,1
61,155,32L724R85KJQ5Y0MVTV5Y6UK4SSPI7,4.2,4.8,5.2,15,88,66.6666666667,5.6,66.6666666667,A few companies have decided to buck the trend by not offering any employment contracts.,1
62,156,3VGZ74AYTFFTFILN009WTUIXQWLCGO,1.8,3.4,3.0,11,51,81.8181818182,5.909090909090001,54.5454545455,A few days ago we got Motorola's Droid in the mail.,1
63,158,31SIZS5W58EOY94KLT43C3LLWKXRQ4,3.6,5.2,3.0,23,118,78.26086956520001,6.39130434783,56.5217391304,"A few of President Obama's top advisers, as well as one or two rare guests, sit down on the network sofas this Sunday.",1
64,171,3BJKPTD2QBB1QPWC2XYYH8W8GRWRTI,4.8,6.0,3.6,22,130,65.9090909091,7.27272727273,68.1818181818,"After Afghan President Hamid Karzai fell short of the 50 percent required to avoid a runoff, a second round was hastily scheduled.",1
65,172,3V8JSVE8YXP8Y7Q1QX1XQIP4G4OEYH,3.4,3.6,5.6,14,84,64.2857142857,5.0,71.4285714286,"After all, average investors aren't likely to sit down and read an 18-page contract.",1
66,173,366FYU4PTFODE21KMI06HAATIPFKES,3.6,6.0,3.4,17,116,64.7058823529,3.4705882352900006,58.8235294118,"After all, it's building its new 3-million-square-foot headquarters in Santa Clara - enough to house 11,000 workers.",1
67,174,3IKDQS3DQDZ7B9RIQO9ZE6VD59DCIG,3.4,3.8,3.6,13,71,73.0769230769,5.07692307692,53.8461538462,"* After all these years, Bush is still a millstone around Blair's neck.",1
68,178,3IVEC1GSLOYJJH1QS95F9BRMERB1JR,4.6,3.8,4.8,19,127,84.2105263158,3.63157894737,68.42105263159999,"After Chanel's barnyard spring 2010 extravaganza, it's only natural for Vogue to hit the farm for November's environment issue.",1
69,180,3E9ZFLPWOXRVE72DHK5MSJGN6R1XI3,4.6,5.4,3.4,34,207,77.9411764706,4.882352941180001,61.7647058824,"After Conrad announced her decision to bail on TV in the hopes of leading a more private life focused on her fashion career, producers brought in Conrad's old schoolmate, Kristin Cavallari, as a replacement.",1
70,187,3W31J70BARVYH4H6QRUBRMAQXD2CKR,3.4,6.0,4.4,27,163,64.8148148148,5.51851851852,62.962962963,"After over eight hours use, with push email and Exchange active, WiFi and Bluetooth turned on, and plenty of use, we were still seeing 30-percent remaining charge.",1
71,189,32LAQ1JNT8OT6HOT6RT3MJJSNQ0UTP,1.8,3.4,3.6,21,109,66.6666666667,5.71428571429,57.1428571429,"After reading many of your articles and Sarah Palin's facebook page, I knew it was time to get off the couch!",1
72,192,32TMVRKDGMXBRZ2QONRQIJPBA0S84S,4.6,5.0,3.6,20,109,32.5,8.05,60.0,"After she did so, the company wrote back saying it was reorganizing the department and would get back to her.",1
73,201,3ZURAPD287M3EFFU9JEUUDZULKUF12,3.6,5.6,3.6,34,192,77.9411764706,7.5882352941199995,55.8823529412,"After two and a half minutes, the main part of the 327-foot (100-meter) rocket splashed down as planned in the Atlantic Ocean as applause broke out in a relieved and excited NASA control room.",1
74,204,367O8HRHKF7TAJHZ2LXVZAPCMUYS4B,4.0,4.6,4.4,20,123,57.5,7.85,80.0,"A full review with performance benchmarks will be presented next week, so present any questions you'd like to see answered.",1
75,208,3B9J25CZ24CW5NUEV03DI810E7FCS8,4.6,4.0,5.0,19,101,55.2631578947,5.315789473680001,52.631578947399994,"Again, thank you for the work you do and please continue to spread the word for the Hoffman campaign.",1
76,209,3LEG2HW4UEMA30XQSNE8ZW9ZDQ8F2J,2.2,3.4,4.4,6,39,50.0,5.0,83.3333333333,Again: the truth just sounds different.,1
77,211,3H4IKZHALAHIGEZ0CUV5ZPL6QCLNNP,3.0,5.8,5.2,19,126,84.2105263158,5.315789473680001,73.6842105263,"A good conservative Hispanic candidate, Marco Rubio, is being dismissed in favor of the uber-liberal Charlie Crist in Florida.",1
78,221,3X52SWXE0W4PC4BNF5DEFX4LKKBCWN,5.2,6.4,2.6,29,198,84.4827586207,4.1724137931,68.96551724140001,"A joint venture between several major networks, Hulu delivers free, ad-supported programming via online streams - an untested model for long-term profitability, at least when it comes to television.",1
79,233,3PIOQ99R7XLVB4J99V7RDKD0Y8ENUH,3.0,3.2,5.4,33,175,43.9393939394,4.63636363636,54.5454545455,"A little Google-fu later and I found that it wasn't a particularly pricey item, but it would be much appreciated by my friend and show that I notice things that matter to him.",1
80,234,373L46LKP65LPINC0JBXEQNLNXBKJD,4.0,5.6,3.6,56,319,78.5714285714,3.9642857142900003,55.3571428571,"All 14 of the tanks will be used by the chemical steam generators units that will be installed on the A-3 stand for creating simulated altitudes of up to 100,000 feet, a testing environment for Constellation, initially to validate the performance of the J2-X engine for the upper stage of the new Ares I launch vehicle.",1
81,236,3X2YVV51PT35P11PZ8OUY1LUGNK1WM,4.2,3.8,4.4,14,80,78.5714285714,3.5714285714300003,57.1428571429,All boosted by the frictionless billing that Apple has created in the App Store.,1
82,247,3SBNLSTU6T43BRM6QOSWY7GLMMSDZF,3.8,3.0,5.2,14,78,39.2857142857,8.0,64.2857142857,ALL the support he gets will help guarantee our country a much needed victory.,1
83,248,3L21G7IH46V9E6WPE96IJY6ARVK1YL,2.8,5.0,2.8,28,172,76.7857142857,3.6785714285699997,60.714285714300004,All the video from the L.A. rehearsals and the London concerts was to be fashioned into a blockbuster theatrical release which promised to bring in countless millions more.,1
84,251,338GLSUI42A38ZEOM2TEQEM3BK7SFZ,2.6,5.0,3.6,19,115,76.3157894737,4.21052631579,63.1578947368,"All told, the ""bold buckaroo with the cold green eyes"" had served his country faithfully for some fifty-five years.",1
85,257,3HKIF5DF6XWRHKEKOGZ5R4HPKBJG9C,4.0,5.2,4.0,36,241,86.1111111111,2.66666666667,58.3333333333,"Alongside Speidi, Audrina and the rest of the well-tanned Cali kids, Cavallari reprises the role she stepped into as a teenager on Hills precursor 'Laguna Beach': a flirtatious, manipulative man-eater, all shiny locks and come-hither stares.",1
86,260,39WSF6KUV1KW4TMZKASZORR22UQOEH,4.0,4.4,3.6,36,195,69.44444444439999,6.05555555556,55.5555555556,"Along with comparison shopping and making a simple price book, one of the often overlooked uses for ubiquitous capture - but one I use all the time - is using your notebook to capture gift ideas.",1
87,265,31S7M7DAGFPQNR1ZXD12VWN9AZ8LTN,2.6,4.8,5.0,22,135,84.0909090909,4.68181818182,63.636363636400006,A lot of politicians and political operatives in DC are very impressed by polling that shows people concerned about the budget deficit.,1
88,267,3NFWQRSHVDD0IU5XR2ZX1030N9DFG2,5.6,4.8,4.2,13,104,61.5384615385,3.23076923077,76.9230769231,Already these distinctions are merely fossilized conventions that stem from consumers' discovery habits.,1
89,274,38VTL6WC49C82OX8FW8UMOJR3BPY50,3.6,5.6,3.2,14,88,85.7142857143,2.85714285714,71.4285714286,"Also, for The Ticket's latest coverage of these shows' recent ratings moves, click here.",1
90,291,31J7RYECZKPPE7PQVUHSPQ4EIGGL1D,2.8,3.0,5.0,4,22,50.0,1.5,75.0,Also on Facebook here.,1
91,299,371QPA24C1NDXKXV43JJBHEVCT2T1O,3.2,4.6,3.0,20,109,62.5,4.45,70.0,"Also, the segment I taped yesterday with Bill Moyers should be available on the PBS site later today -- here.",1
92,311,3126F2F5F72EPTY0ZA5EDRWSCZMEPO,3.2,4.4,3.8,16,108,62.5,7.75,75.0,"Although, given pigeons' tendency to carry disease, I'd recommend training a cat, spouse or younger sibling.",1
93,317,37VUR2VJ69OWB3VKIHOTM7ERO73C1P,5.0,5.0,4.6,30,180,76.6666666667,4.23333333333,53.3333333333,"Although this race is probably closer to a toss-up than advantage Castle, it still seems to feature the cleanest path for an opposition party takeover than any of the alternatives.",1
94,321,3PA41K45VM3TGEJQC2R87H4BQCIP7D,3.8,5.6,3.0,15,74,86.6666666667,4.06666666667,46.6666666667,A map showing the percentages of for all the states is at the Gallup site.,1
95,323,3H781YYV6SHCHLR7GREYI1XP127ETT,5.4,6.4,3.0,31,204,75.8064516129,5.03225806452,61.290322580600005,"A Maryland woman lost her accounting job after a background check performed through the FBI's criminal database indicated, erroneously, that she was unsuitable for the job, according to the Baltimore Sun.",1
96,324,3VDVA3ILICE9SFBPK3KCCYZ6MZV1GO,3.8,5.0,3.0,20,120,80.0,6.5,55.0,A massive part of the profit from the concerts would have come from the high-definition video taken at each performance.,1
97,326,3H781YYV6SHCHLR7GREYI1XP126TE7,3.8,4.8,3.8,22,135,79.54545454550001,4.0,59.0909090909,"American women have all these things, yet there is a notable lack of women, both Democrat and Republican, in national political office.",1
98,330,3CRWSLD91J3UGHEC18GI1ZWBBWHMO4,5.8,5.4,2.0,26,168,84.6153846154,3.9615384615400004,61.5384615385,"Among his chestful of awards were the Navy Cross, two Silver Stars, two Distinguished Service Crosses, two Distinguished Service Medals, and two Legion of Merit Awards.",1
99,336,3IQ9O0AYW5YOXQTTCA4P3GVHTVDTIG,6.0,5.2,3.0,32,208,85.9375,4.96875,65.625,"Among the thirteen new taxes found in the bill by Americans for Tax Reform is the ""medicine cabinet tax,"" which bars people from paying for non-prescription medicine with tax-deferred health savings accounts.",1
100,337,359AP8GAGFJAMPAM7X52NH54RT3C7M,4.0,3.6,4.8,50,316,75.0,3.84,64.0,Among the three most closely watched off-season elections - including an open governor's race in Virginia that the Democrats apparently are poised to lose despite the efforts of President Barack Obama there - none is more peculiar than the contest in New York State's remote and farflung 23rd Congressional District.,1
101,341,3O71U79SRAO9E9658PXRL46C8LKMS1,3.6,5.2,3.2,25,146,72.0,3.44,64.0,An Admiral in John Ford's 1945 film version of the story explains the brutal rationale for allowing so many Americans to be defeated and captured:,1
102,346,3ZVPAMTJWM2XLKA6IXZRIPHJQXPGRZ,4.6,4.6,4.6,24,128,66.6666666667,4.79166666667,45.8333333333,"And all indications were that he was in the thick of planning and approving nearly every step of the ""This Is It"" business plan.",1
103,349,3K2CEDRACA0AT9JKXP2HV92YA4YMTQ,3.4,4.2,4.4,21,128,83.3333333333,3.9523809523800004,66.6666666667,And a recent blog posting by journalist Paul Waugh of the London Evening Standard stated Reinfeldt was in contention by default.,1
104,350,3CIS7GGG64IRHY6WGW48NXJRKGEUE0,5.4,4.2,4.4,14,75,28.5714285714,5.42857142857,57.1428571429,"And, as always, today I will do what I believe serves their interests best.",1
105,353,3EQPA8A373VGEDMY0KE715BYR6PJZZ,4.0,5.4,4.6,19,102,71.0526315789,8.15789473684,63.1578947368,"And as you would expect, this new crop of super-powered phones are making heavy use of the mobile web.",1
106,355,32ZCLEW0BYJM09KSDBG5A79KH7IPJK,2.4,5.0,5.0,24,153,70.8333333333,5.16666666667,58.3333333333,"And at the risk of maybe sounding undiplomatic, Pakistan has to have more internal investment in your public services and in your business opportunities.",1
107,356,3QE4DGPGBQAQKE887L3EAW69YJ54G4,3.0,5.0,4.4,19,111,63.1578947368,3.21052631579,63.1578947368,"And believe it or not, Sen's contract, while longer than Sinegal's, is actually a lot simpler than many others.",1
108,360,3IWA71V4THFFLN7CFJWXVGQIX07X6A,2.6,2.8,5.4,12,64,66.6666666667,5.25,75.0,And does Yahoo really want poor Mrs. Fletcher as its new mascot?,1
109,362,3D1TUISJWHZ3X38ICFUZ8CHJC9LUI9,4.4,3.6,5.0,16,80,78.125,8.8125,43.75,"And, for all its faults, no one has come up with a better system than democracy.",1
110,365,3I7KR83SN9CWJ6A3E7KKPW9IRS09K8,2.2,4.2,3.6,18,95,66.6666666667,3.7222222222199997,61.111111111099994,And fun fact: the school they filmed this is in is the school your cutie Anton Yelchin attended,1
111,367,3PMR2DOWON0S4HJOQPKN6ZFK8AS54O,2.6,3.8,3.8,13,84,50.0,5.23076923077,69.2307692308,"And here are five more stories we thought were important, thought-provoking, or fun:",1
112,368,3VGZ74AYTFFTFILN009WTUIXQWMCGP,3.2,3.6,5.2,12,77,70.8333333333,1.5833333333300001,91.6666666667,* And here's today's very amusing installment in the Alan Grayson chronicles.,1
113,372,3BAKUKE49GB0H5K30EEOB2DDO861RK,4.0,4.0,5.4,41,210,58.5365853659,5.85365853659,53.6585365854,"And I can say that because I think there has to be, in any partnership, but more importantly in any plan for your own economic future, a hard look at where you're going to get the resources to meet these needs.",1
114,380,3R868ACW4RB6NBWXSET44SJIZE8GZS,2.6,4.2,4.6,32,179,62.5,5.625,59.375,"And if you're still scrambling for a costume, we happen to love these hallow-memes, but good luck trying to pull off anything remotely as cool as the the real life iPhone costume.",1
115,384,3GITHABACXKMRSA7QBXL71I8FHW2NF,3.8,5.2,4.0,41,246,69.512195122,4.0,51.2195121951,"And, in a district that hasn't elected a Democrat since the Civil War, the Republican candidate today, four days before the election, announced that she is standing down - all but assuring that the Democratic candidate will fail there on Tuesday.",1
